User_ID,Age,Gender,Daily_Steps,Workout_Min,Sleep_Hrs,Protein_Intake,Water_Intake
U0001,56,male,832.0,31.0,8.0,24.0,1.5
U0002,46,female,1653.0,24.0,6.0,93.0,4.0
U0003,32,male,1696.0,32.0,8.0,,2.7
U0004,60,male,1443.0,87.0,9.0,43.0,3.9
U0005,25,male,1547.0,103.0,5.0,59.0,1.4
U0006,38,male,1622.0,33.0,4.0,42.0,4.8
U0007,56,male,855.0,,6.0,82.0,4.0
U0008,36,female,638.0,126.0,6.0,12.0,1.4
U0009,40,female,1697.0,68.0,8.0,11.0,3.0
U0010,28,male,528.0,39.0,7.0,13.0,1.0
U0011,28,male,,79.0,,25.0,2.1
U0012,41,male,995.0,140.0,5.0,,3.5
U0013,53,female,1513.0,,4.0,42.0,2.0
U0014,57,female,1154.0,115.0,4.0,18.0,3.5
U0015,41,male,1327.0,62.0,8.0,66.0,1.6
U0016,20,male,850.0,,8.0,49.0,3.7
U0017,39,female,1053.0,86.0,7.0,111.0,2.1
U0018,19,male,798.0,47.0,9.0,61.0,4.1
U0019,41,female,1715.0,60.0,4.0,91.0,1.1
U0020,61,female,563.0,139.0,9.0,25.0,2.1
U0021,47,male,1254.0,77.0,4.0,17.0,2.6
U0022,55,female,1269.0,17.0,9.0,96.0,2.4
U0023,19,male,1738.0,27.0,9.0,69.0,2.4
U0024,38,male,1333.0,79.0,4.0,45.0,2.5
U0025,50,male,665.0,15.0,5.0,12.0,4.9
U0026,29,male,1755.0,76.0,5.0,24.0,1.4
U0027,39,male,1718.0,136.0,8.0,111.0,4.0
U0028,61,male,1005.0,25.0,9.0,106.0,3.0
U0029,42,female,1292.0,27.0,9.0,91.0,2.4
U0030,44,female,1332.0,104.0,9.0,32.0,3.4
U0031,59,female,1357.0,76.0,9.0,116.0,4.3
U0032,45,female,1305.0,8.0,9.0,12.0,2.6
U0033,33,male,1672.0,50.0,7.0,39.0,4.4
U0034,32,female,1260.0,75.0,6.0,54.0,0.9
U0035,64,female,,121.0,9.0,26.0,3.4
