User_ID,Age,Gender,Daily_Steps,Workout_Min,Calories_Burned,Sleep_Hrs,Protein_Intake,Water_Intake
U0001,56,male,8233.0,86.0,,6.4,78.0,3.5
U0002,46,female,4856.0,50.0,437.0,,52.0,2.6
U0003,32,male,12154.0,139.0,1093.0,8.7,103.0,5.3
U0004,60,male,5035.0,46.0,402.0,7.3,64.0,2.4
U0005,25,male,4889.0,33.0,389.0,7.5,46.0,1.9
U0006,38,male,9625.0,108.0,882.0,7.3,84.0,4.0
U0007,56,male,10815.0,109.0,939.0,7.8,81.0,4.1
U0008,36,female,13242.0,148.0,,7.4,105.0,5.4
U0009,40,female,6458.0,67.0,585.0,5.7,63.0,2.9
U0010,28,male,4687.0,38.0,388.0,7.8,44.0,1.8
U0011,28,male,6737.0,69.0,563.0,7.3,64.0,3.3
U0012,41,male,9964.0,104.0,872.0,6.9,81.0,
U0013,53,female,5450.0,51.0,483.0,7.0,59.0,2.4
U0014,57,female,5083.0,52.0,434.0,6.6,,2.3
U0015,41,male,8503.0,83.0,717.0,8.5,63.0,3.6
U0016,20,male,7174.0,73.0,629.0,7.8,55.0,2.5
U0017,39,female,1241.0,11.0,154.0,5.7,29.0,1.4
U0018,19,male,6929.0,75.0,644.0,6.2,71.0,3.7
U0019,41,female,2842.0,40.0,313.0,7.0,51.0,2.0
U0020,61,female,11566.0,124.0,1013.0,7.8,98.0,4.2
U0021,47,male,4627.0,35.0,387.0,7.4,53.0,2.1
U0022,55,female,3706.0,,347.0,6.8,45.0,2.3
U0023,19,male,8688.0,87.0,737.0,6.9,,3.9
U0024,38,male,4105.0,34.0,364.0,7.3,44.0,2.9
U0025,50,male,5469.0,57.0,493.0,7.5,63.0,1.9
U0026,29,male,8058.0,74.0,644.0,8.3,62.0,3.5
U0027,39,male,7324.0,76.0,674.0,7.8,59.0,3.3
U0028,61,male,10420.0,99.0,841.0,6.9,77.0,4.0
U0029,42,female,12592.0,146.0,1136.0,8.0,96.0,5.2
U0030,44,female,4860.0,47.0,439.0,6.8,49.0,2.3
U0031,59,female,9085.0,96.0,806.0,6.7,74.0,3.3
U0032,45,female,7270.0,74.0,640.0,5.8,,3.3
U0033,33,male,4418.0,36.0,312.0,8.7,42.0,2.6
U0034,32,female,12474.0,115.0,995.0,7.3,87.0,4.6
U0035,64,female,12448.0,132.0,1082.0,7.6,94.0,5.3
U0036,61,female,5517.0,53.0,481.0,7.2,60.0,2.5
U0037,20,male,9717.0,109.0,885.0,7.6,78.0,4.3
U0038,54,female,3200.0,37.0,346.0,4.8,51.0,1.2
U0039,24,male,,26.0,316.0,6.7,40.0,3.1
U0040,38,female,12287.0,136.0,1071.0,9.1,,4.7
U0041,26,male,13522.0,132.0,1108.0,7.7,95.0,4.8
U0042,56,male,13334.0,140.0,1176.0,9.1,104.0,4.9
U0043,35,female,8396.0,85.0,722.0,7.4,71.0,3.1
U0044,21,male,5872.0,55.0,503.0,6.8,48.0,2.1
U0045,42,male,7832.0,78.0,685.0,7.4,72.0,3.4
U0046,31,female,,146.0,1181.0,7.8,96.0,5.1
U0047,26,female,8114.0,94.0,733.0,7.3,71.0,3.7
U0048,43,female,2425.0,20.0,217.0,6.3,34.0,1.7
U0049,19,male,7621.0,78.0,635.0,6.2,58.0,3.3
U0050,37,male,9856.0,108.0,870.0,7.9,80.0,3.4
U0051,45,male,8857.0,100.0,816.0,7.5,78.0,3.5
U0052,64,female,9381.0,103.0,830.0,8.8,80.0,4.0
U0053,24,male,12058.0,124.0,1064.0,7.7,87.0,4.4
U0054,61,male,4774.0,40.0,403.0,5.8,53.0,2.5
U0055,25,male,2786.0,20.0,,7.0,32.0,1.7
U0056,64,male,9454.0,96.0,805.0,7.5,92.0,3.8
U0057,52,male,11484.0,130.0,1002.0,7.3,97.0,4.7
U0058,31,male,12417.0,139.0,1101.0,8.2,96.0,5.1
U0059,34,male,10846.0,114.0,947.0,8.0,80.0,4.7
U0060,53,female,3558.0,36.0,334.0,5.9,49.0,3.1
U0061,57,female,1989.0,11.0,178.0,6.3,38.0,1.9
U0062,21,female,9889.0,112.0,880.0,8.4,80.0,3.4
U0063,19,male,9525.0,110.0,846.0,6.7,86.0,3.5
U0064,23,male,3918.0,30.0,325.0,6.8,31.0,1.9
U0065,59,female,7209.0,67.0,611.0,7.4,63.0,2.7
U0066,21,male,12755.0,,1125.0,6.9,99.0,5.2
U0067,46,female,8230.0,94.0,759.0,7.2,72.0,
U0068,35,male,8566.0,102.0,816.0,7.3,70.0,3.5
U0069,43,male,4386.0,,357.0,6.7,41.0,2.8
U0070,61,female,7006.0,70.0,627.0,6.0,72.0,3.8
U0071,51,female,4691.0,47.0,446.0,7.0,49.0,1.5
U0072,27,female,3708.0,34.0,344.0,6.4,41.0,1.4
U0073,53,female,11858.0,139.0,1087.0,8.5,102.0,5.3
U0074,31,female,12360.0,130.0,1103.0,8.1,88.0,5.2
U0075,48,male,4975.0,35.0,405.0,6.4,,2.6
U0076,32,male,7069.0,76.0,620.0,6.9,61.0,
U0077,25,male,3042.0,10.0,174.0,6.9,27.0,1.7
U0078,31,female,6042.0,60.0,527.0,6.8,50.0,3.1
U0079,40,female,3023.0,14.0,239.0,5.6,34.0,1.8
U0080,57,female,3024.0,22.0,278.0,7.0,48.0,2.5
U0081,38,female,13818.0,149.0,1174.0,8.3,110.0,4.9
U0082,33,female,6767.0,57.0,563.0,7.8,61.0,2.9
U0083,62,female,7001.0,66.0,617.0,8.0,66.0,3.5
U0084,35,male,11727.0,124.0,1027.0,7.0,97.0,4.7
U0085,64,male,3769.0,44.0,385.0,7.5,66.0,2.5
